NAME,CATEGORY,ADDRESS,LAT,LNG,ID
Talent Almanack by RobilantAssociati,General Entertainment,via Vigevano 41,45.4531016,9.171438217,4fabe0f4121da90b7ede1c2a
Dom Station,Lounge,Via Casale 3,45.45256992,9.170124577,4d79eea47418a143288bc35b
Milano 1909 Members Club,Lounge,Via Tortona 3,45.45373119,9.169034972,528a6c6011d2e4c3c59c2f62
Zona Tartina,Miscellaneous Shop,Via Voghera 4,45.454419,9.168729,4da9ba9a8154abafc29ab8c0
Chivas Members Club,Lounge,,45.453768,9.168605,52939aed11d2a0abad351a0b
Terrazza 14,Lounge,Via Tortona 14,45.453828,9.1686,4e0b35f86284a62b5bbf0560
La Cueva,General Entertainment,Via Vigevano 2a,45.45293177,9.171891179,50f70303e4b0cdce571be752
Blues Canal,Cocktail Bar,"Via Casale, 7",45.45154312,9.170756002,4b05887af964a52048c822e3
Jolly,Nightclub,,45.454092,9.170793,4ce4550cc850721eb194c28a
Music Togheter,Music Venue,,45.45383,9.171643,588c706cea1c0d436975fd9f
Dojo -Hara Yoga,General Entertainment,Via Savona 10,45.457347,9.168909,4cb8a701bac9370444d0de7c
Narciso & Boccadoro,Lounge,Via Savona 12,45.45573923,9.168450128,51801d5fe4b003188a253947
Interior Design Cafè,Lounge,Via Arcangelo Ghisleri 1,45.45729629,9.170180392,561ec816498eb307015ff6c1
Lit de Chouchou,Nightclub,Via Savona 1B,45.45575076,9.170317845,50773be1e4b05f2fb7032778
Marangoni's party,Nightclub,Limelight,45.456076,9.169813,5165fe72e4b0baf4dfb9c3cd
Bubbles Studio,General Entertainment,,45.455936,9.168631,4f855b49e4b064ded77fb5df
Papiniano Palace,Lounge,,45.45729625,9.171214744,4fe88c49e4b0af2e683b9cf6
"Radio Dynamo ""ON AIR"" @ DesignLibrary Café",Radio Station,Via Savona 11,45.45526951,9.168468967,4ef3296fc512c31f1b892360
#plastiparty + Cecilia Cattoni Food Design,General Entertainment,via Savona 11,45.45545321,9.168508582,4f4e536fe4b0ef284c32b864
Teatro Libero,Comedy Club,,45.45593024,9.168500867,4bed03006e8c20a144d46f61
i Giovedi del Design: Vitamina D,General Entertainment,Via Savona 11,45.455252,9.168372,4f0f16cce4b06654e48a7c5c
Ciuccia Fuffa,General Entertainment,Via Savona 17,45.45517221,9.167864174,4df129cad1647076f63bf213
Circolo Filoellenico,General Entertainment,,45.457595,9.171636,519bc1cb498e389000534275
Bonac's,Lounge,Via Cesare Da Sesto 19,45.45838663,9.171706438,55603243498e1b698160f278
Les - Ufficio Tempo Libero,General Entertainment,,45.45860677,9.169889183,4ea157d902d529c11623ab46
Agenzia Viaggi Numa Pompilio,Lounge,,45.459956,9.169674,51e85ff9498e426b9c830da6
Agenzia Viaggi,General Entertainment,,45.459968,9.169676,519a770f498eede654020d64
Dedalo Teatro,Movie Theater,Via Ariberto 25,45.45936023,9.172277749,4e7c7159185088025bb30ee3
Narnia,Lounge,,45.463797,9.169002,516bf5a6e4b0169e225c55a1
Stanza N 5 SCALA 6 Corso,Lounge,,45.461772,9.169308,4f644df7e4b06561249f4880
Casa Korvelyte,Lounge,Via giambattista vico 12,45.463145,9.171146,4dc65fc745dd264552887d18
Teatro delle Marionette,Theater,3 Via Olivetani,45.46313,9.17015,4b058880f964a5201eca22e3
Manchester,Music Venue,,45.4643546,9.169237,51463c50e4b02dd32db0555e
Spazio MiMat,General Entertainment,Via Morozzo Della Rocca 12,45.465171,9.168443,56ec2926498e6f886538043a
Teatro San Carlo,Theater,via Morozzo dells Rocca 12,45.465153,9.168333,4cc99628786e4688f5f49409
IMMPRONTA,Piano Bar,"Piazzale Baracca, 2",45.466071,9.169509,4c593eac67ac0f4716b3034c
Centre Culturel Français,General Entertainment,Corso Magenta 63,45.465844,9.171812,4b058881f964a52042ca22e3
Circolo Arci Magnolia,Music Venue,,45.4690954,9.1688154,57761f14498e0799f1c8407c
Circolo Anarchico Ponte Della Ghisolfa,Music Venue,,45.4690954,9.1688154,57931fd2498e9d6cd3ce23ae
Reggae Rock Festival Bussero,Music Venue,,45.4690954,9.1688154,576f8679498eb5f8a03708ce
Private Party Milano,Music Venue,,45.4690954,9.1688154,5b1e2957a87921002c2386f7
Ca' Bianca Café,Music Venue,,45.4690954,9.1688154,5ac3346f7269fe2798809834
Festa Della Magnolia,Music Venue,,45.4690954,9.1688154,57ac3116498ee8e345abb52f
"Arci Paz, Castano Primo",Music Venue,,45.4690954,9.1688154,587f1ba591680266c0169fa0
Kitsch Bar,Lounge,"Corso Sempione, 5",45.47691554,9.170824508,4bf6c817508c0f47e5d93c31
Midnightrun 3,General Entertainment,,45.47554721,9.172527065,51439eb6e4b0554c1d14032b
Huggy Bear,Lounge,Corso Sempione 3,45.47648634,9.171412336,4be4769fd4f7c9b641302420
Le Voyage,Lounge,,45.477814,9.169702,564acd7c498e2a88152124e1
