NAME,CATEGORY,ADDRESS,LAT,LNG,ID,SCALE,EVENT,TIME_OF_DAY
Roccobarocco Fashion Show,General Entertainment,,45.4700711654863,9.179810608580132,4f4646d2e4b07a6329c876d9,small,All,"Day, Evening, Night, LateNight"
Strasingle,General Entertainment,,45.469267,9.181356,51c6ab4d498ebaa35dd691b2,small,All,"Day, Evening, Night, LateNight"
MilanoBookCity,General Entertainment,,45.46950340238775,9.180639266607884,5467753c498e74d3bc189cdf,small,All,"Day, Evening, Night, LateNight"
Milano Film Festival,General Entertainment,,45.47172396229453,9.178391281555049,55f865f7498e67cfe93029d1,small,All,"Day, Evening, Night, LateNight"
Capodanno Celtico,General Entertainment,,45.471801246185585,9.178569227601749,4ccc6abb72106dcbc6d09b99,small,All,"Day, Evening, Night, LateNight"
PinC Mondiale,General Entertainment,Viale Gerolamo Gadio,45.472109584902924,9.178776741027832,4c164366a9c220a1fc525a9d,small,All,"Day, Evening, Night, LateNight"
Heaven,Nightclub,17 Via Fiori Chiari,45.47303130383103,9.181398795383942,4b05887af964a52052c822e3,small,"dance, music, acting, magic,comedy","Evening, Night"
Piccolo Teatro Strehler,Theater,Largo Antonio Greppi 1,45.47205299587371,9.1821182022893,4b058880f964a5200bca22e3,large,All,"Day, Evening"
Caffè Etiko,Lounge,,45.477615,9.177806,56f1992d498e60b366a93568,small,"dance, music, acting, magic,comedy","Evening, Night"
sforzinda,General Entertainment,,45.4764,9.181,50bb35cde4b0e2256150f051,small,All,"Day, Evening, Night, LateNight"
Slash@MilanoJazzin'Festival,Music Venue,,45.476479,9.177861,4e31bb38fa76634e16c46bab,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Bombclub,Nightclub,,45.477856,9.181242,5a18a91b18d43b3a0c467665,small,"dance, music, acting, magic,comedy","Evening, Night"
Cafè Etniko,Lounge,"Via Luigi Canonica, 14",45.477617552532834,9.177530474772652,4b058877f964a5206fc722e3,small,"dance, music, acting, magic,comedy","Evening, Night"
Coccoluto@milano jazzin festival,Jazz Club,,45.47727716125706,9.179819615909395,4e3464906284ea7e10f5133d,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Cornetto Summer Of Music Tour Parco Sempione,Rock Club,,45.475376,9.17816,51a0bea4498efd44c84a0c0e,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Osteria di Porta Volta,Music Venue,14 Viale Montello,45.480126,9.179174,4b05887af964a52067c822e3,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Ghetto YiLmazZ,General Entertainment,,45.478904,9.18084,50ceaa24e4b0ed7c4714294f,small,All,"Day, Evening, Night, LateNight"
Reparto Cinema,General Entertainment,Via Niccolini 2,45.47920067463969,9.177647796947983,4d46cdff1911a09366ffeed8,small,All,"Day, Evening, Night, LateNight"
bramante 32,General Entertainment,Via bramante 32,45.481179276968895,9.179801175686226,4fb12595e4b05b8b56c56091,small,All,"Day, Evening, Night, LateNight"
HULU Lounge Bar,Lounge,Via Bramante 9,45.479273,9.179946,5d1d0df76d22da0023ebde62,small,"dance, music, acting, magic,comedy","Evening, Night"
Sarpi 6,General Entertainment,Paolo Sarpi 6,45.4818013219007,9.18008945593715,515deceee4b0944d8bdef989,small,All,"Day, Evening, Night, LateNight"
Film Master Srl,General Entertainment,"Via Carlo Farini, 4",45.48304435973304,9.182228703690091,4e0896d06284d9ee92dc20f8,small,All,"Day, Evening, Night, LateNight"
Avangard Event,Nightclub,Via Paolo Sarpi 6,45.482118,9.179932,515de811e4b020711eb24269,small,"dance, music, acting, magic,comedy","Evening, Night"
Spazio Sarpi6,General Entertainment,Via Paolo Sarpi 6,45.48201646292328,9.180068665630797,511e7f2fe4b0eaecfc23f35d,small,All,"Day, Evening, Night, LateNight"
indiehub,Music Venue,via bramante,45.48257064819336,9.178019523620605,5247dfbc11d249341302e7dc,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Boscaiola 14,Lounge,Via Della Boscaiola 14,45.490139380219595,9.182350914866115,51607784e4b027d8435fa340,small,"dance, music, acting, magic,comedy","Evening, Night"
De Sade,Nightclub,Via Valtellina 21,45.49427262816763,9.18177079562152,4b05887bf964a5206dc822e3,small,"dance, music, acting, magic,comedy","Evening, Night"
Area 21,Nightclub,Via Valtellina 21,45.49426082087351,9.181886768412248,503f885be4b081f565d45d1f,small,"dance, music, acting, magic,comedy","Evening, Night"
Club Haus 80's,Nightclub,"Via Valtellina, 21",45.49429580651459,9.181967046715252,523c800b049301ac0123ee0d,small,"dance, music, acting, magic,comedy","Evening, Night"
Le Cannibale Club,Nightclub,Via Valtellina 23,45.494184209334605,9.182127536286092,55f321f5498e93d5f9faacfd,small,"dance, music, acting, magic,comedy","Evening, Night"
Tibaldi 66,Comedy Club,Viale Tibaldi 66,45.444922125685004,9.185935831731882,4f6bb185e4b0dca2deb7d09f,small,Comedy,"Evening, Night"
Lardo&Bisaccia,General Entertainment,Piazza bibbiena 1,45.44531847046086,9.184904088271505,4d41dac189c3a143aa3df283,small,All,"Day, Evening, Night, LateNight"
Officine cocktail bar,Lounge,Via Giovenale 7,45.44990691233934,9.184522558435186,579b9c5d498ee786362a8bf6,small,"dance, music, acting, magic,comedy","Evening, Night"
Fly Fisher Club,General Entertainment,Piazza Tito Lucrezio Caro 7,45.449406,9.183548,4dd5685fd1647fcf3e1948c7,small,All,"Day, Evening, Night, LateNight"
M.A.C.,Music Venue,Piazza Tito Lucrezio Caro 1,45.44925685595044,9.183019153663677,552eaa0b498e978b40d2deae,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Club Curti,Nightclub,,45.448044,9.185908,5c683f87065ef5002c149f00,small,"dance, music, acting, magic,comedy","Evening, Night"
Studi Televisivi Class Editori,General Entertainment,,45.452981786334036,9.18535648534283,4dfa0296b0fb0401c7f6ecf8,small,All,"Day, Evening, Night, LateNight"
Festone Di MLGD,Nightclub,Via Calatafimi,45.453651,9.182939,515efc24e4b0a90e6ce091f2,small,"dance, music, acting, magic,comedy","Evening, Night"
Best.Club.Milan.Is.Our.AudiAllRoad,Music Venue,"Every Cool Place, Every Street, Every Party of Milan",45.452531,9.18681,4eaca594b80323ec921facff,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Photo Art,General Entertainment,,45.45147512121384,9.184236778575908,518b6915498e6fdb0065e2dd,small,All,"Day, Evening, Night, LateNight"
PJ House,Lounge,Corso Italia 68,45.452739,9.186276,4d30ce56619f6ea85dd23883,small,"dance, music, acting, magic,comedy","Evening, Night"
Eat.List Milano @ Tip&Coffee,Lounge,Via Wittgens,45.45737355396508,9.183782332831127,4d55b4dcb4deb1f79eb2077a,small,"dance, music, acting, magic,comedy","Evening, Night"
piano terra,Comedy Club,Via Confalonieri 3,45.45705795288086,9.18606185913086,511e9733e4b0e64a2d5cefad,small,Comedy,"Evening, Night"
TOM - The Organic Market,Nightclub,Via Molino Delle Armi 32,45.45674555293393,9.183933223838897,51158e1ce4b0e006a3bdf33c,small,"dance, music, acting, magic,comedy","Evening, Night"
Fondazione Gioventù Musicale d'Italia,General Entertainment,"Via Santa Croce, 20122 Milano",45.45644922768953,9.183366255479461,4f671fd1e4b0e30d22ff0bfb,small,All,"Day, Evening, Night, LateNight"
Flying Circus,Nightclub,Piazza Vetra 21,45.45745666671804,9.183004181528087,4b05887af964a52023c822e3,small,"dance, music, acting, magic,comedy","Evening, Night"
Olympia Milan,Music Venue,,45.4566919,9.1839563,57036b74cd1091aff823759e,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Volt,Nightclub,Via Molino delle Armi 16,45.45673673943659,9.184066394853048,5839016c44587f27e93b46da,small,"dance, music, acting, magic,comedy","Evening, Night"
Trekking Italia Amici del Trekking e della Natura,General Entertainment,Via Santa Croce 2,45.456672676704606,9.183182703847661,4faf7d81e4b02f54b87fe89f,small,All,"Day, Evening, Night, LateNight"
Consolle Luke,Nightclub,,45.45657111127816,9.184553982727426,4f5a8c52e4b036906f47cf75,small,"dance, music, acting, magic,comedy","Evening, Night"
Ubi Maior,General Entertainment,Via Crocifisso 18,45.457191,9.185419,4da753a7cda1480291cdbe0c,small,All,"Day, Evening, Night, LateNight"
Glamour Life,Coffee Shop,Via Wittgens 1,45.4577166204826,9.18397507888729,4e8ea445f5b90ec6782268d4,small,"dance, music, acting, magic,comedy","Day, Evening, Night, LateNight"
teatro philipp plein milano,Theater,Via San Vito 5,45.45900999197705,9.182326274568998,505e40bbe4b008a519638514,large,All,"Day, Evening"
Mini Artfactory,General Entertainment,via gaudenzio ferrari,45.45820373887529,9.184257683033122,4e99cc54cc215f3adc8832f2,small,All,"Day, Evening, Night, LateNight"
Teatro Vetra Milano,General Entertainment,,45.45924566737418,9.182531324419646,54ecdeb2498e12a95dcb3e73,small,All,"Day, Evening, Night, LateNight"
Folder Theatre Company,Theater,Via disciplini 12,45.458282,9.18539,4ce2faf1910ea1cd0a32737b,large,All,"Day, Evening"
Sala Delle Colonne Image Building,General Entertainment,,45.460315,9.183302,509b97b3e4b04527ff44de1e,small,All,"Day, Evening, Night, LateNight"
#MINI Paceman Loft,General Entertainment,,45.46169869567301,9.185700763987667,513221ece4b0dc200b3b7411,small,All,"Day, Evening, Night, LateNight"
Kinect For Xbox 360 Experience Truck,General Entertainment,,45.461566,9.185771,4e745e94d22d80eb32b64a7d,small,All,"Day, Evening, Night, LateNight"
Accademia del Teatro alla Scala,General Entertainment,,45.461900736477325,9.182410061114034,4eea1d394901326b61766bd3,small,All,"Day, Evening, Night, LateNight"
Cinema Centrale Multisala,Movie Theater,Via Torino 30/32,45.4620465685442,9.185953205378686,4b058880f964a5202aca22e3,large,"dance, music, acting, magic,comedy","Evening, Night"
Bubbles,Lounge,,45.463207,9.186017,562a7bf5498e154e03385a66,small,"dance, music, acting, magic,comedy","Evening, Night"
Sala Stampa Milano,General Entertainment,"Via Cordusio, 4",45.46481870986511,9.185210526205719,4bcd70abb6c49c74915e9591,small,All,"Day, Evening, Night, LateNight"
